Title,Original_Title,Year,Released,Runtime,Genre,Director,Writer,Actors,Plot,imdbID,TMDb_ID,MovieLens_ID
The Usual Suspects,The Usual Suspects,1995,1995-07-19,106 min,"Drama, Crime, Thriller",Bryan Singer,Christopher McQuarrie,"Stephen Baldwin, Gabriel Byrne, Benicio del Toro, Kevin Pollak, Kevin Spacey","Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",tt0114814,629,12
Mighty Aphrodite,Mighty Aphrodite,1995,1995-09-13,95 min,"Comedy, Romance",Woody Allen,Woody Allen,"Woody Allen, Mira Sorvino, Helena Bonham Carter, F. Murray Abraham, Donald Symington","When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",tt0113819,11448,13
The Postman,Il postino,1994,1994-04-07,109 min,"Comedy, Drama, Romance",Michael Radford,"Antonio Skármeta, Giacomo Scarpelli, Furio Scarpelli, Michael Radford, Massimo Troisi","Massimo Troisi, Philippe Noiret, Maria Grazia Cucinotta, Renato Scarpa, Linda Moretti",Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,tt0110877,11010,14
Mr. Holland's Opus,Mr. Holland's Opus,1995,1995-12-29,143 min,"Drama, Music",Stephen Herek,Patrick Sheane Duncan,"Richard Dreyfuss, Glenne Headly, Jay Thomas, Olympia Dukakis, William H. Macy","In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",tt0113862,2054,15
French Twist,Gazon maudit,1995,1995-01-18,95 min,"Comedy, Romance",Josiane Balasko,"Patrick Aubrée, Telsche Boorman, Josiane Balasko","Victoria Abril, Josiane Balasko, Alain Chabat, Ticky Holgado, Catherine Hiegel","After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",tt0113149,4482,16
From Dusk Till Dawn,From Dusk Till Dawn,1996,1996-01-19,108 min,"Horror, Action, Thriller, Crime",Robert Rodriguez,"Quentin Tarantino, Robert Kurtzman","George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis, Ernest Liu","After kidnapping a father and his two kids, the Gecko brothers head south to a seedy Mexican bar to hide out in safety, unaware of its notorious vampire clientele.",tt0116367,755,17
The White Balloon,بادکنک سفید,1995,1995-02-02,85 min,Drama,Jafar Panahi,Abbas Kiarostami,"Aida Mohammadkhani, Mohsen Kafili, Fereshteh Sadr Orafaee, Anna Borkowska, Mohammad Shahani",Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,tt0112445,46785,18
Antonia's Line,Antonia,1995,1995-09-21,102 min,"Drama, Comedy",Marleen Gorris,Marleen Gorris,"Willeke van Ammelrooy, Els Dottermans, Dora van der Groen, Veerle van Overloop, Carolien Spoor","After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",tt0112379,880,19
Angels and Insects,Angels and Insects,1995,1995-09-10,118 min,"Drama, Romance",Philip Haas,"Belinda Haas, Philip Haas, A.S. Byatt","Mark Rylance, Kristin Scott Thomas, Patsy Kensit, Jeremy Kemp, Douglas Henshall","In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.",tt0112365,8447,20
Muppet Treasure Island,Muppet Treasure Island,1996,1996-02-16,100 min,"Action, Adventure, Family, Comedy, Music",Brian Henson,"Robert Louis Stevenson, Jerry Juhl, Kirk R. Thatcher, James V. Hart","Tim Curry, Billy Connolly, Jennifer Saunders, Kevin Bishop, Dave Goelz","After telling the story of Flint's last journey to young Jim Hawkins, Billy Bones has a heart attack and dies just as Jim and his friends are attacked by pirates. The gang escapes into the town where they hire out a boat and crew to find the hidden treasure, which was revealed by Bones before he died. On their voyage across the seas, they soon find out that not everyone on board can be trusted.",tt0117110,10874,21
Braveheart,Braveheart,1995,1995-05-24,177 min,"Action, Drama, History, War",Mel Gibson,"Randall Wallace, Randall Wallace","Mel Gibson, Catherine McCormack, Sophie Marceau, Patrick McGoohan, Angus Macfadyen","Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",tt0112573,197,22
Taxi Driver,Taxi Driver,1976,1976-02-09,114 min,"Crime, Drama",Martin Scorsese,Paul Schrader,"Robert De Niro, Jodie Foster, Cybill Shepherd, Harvey Keitel, Peter Boyle",A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,tt0075314,103,23
Rumble in the Bronx,紅番區,1995,1995-01-21,104 min,"Crime, Action, Comedy, Thriller",Stanley Tong,"Edward Tang, Fibe Ma Mei-Ping","Jackie Chan, Anita Mui Yim-Fong, Françoise Yip, Bill Tung, Marc Akerstream","Keong comes from Hong Kong to visit New York for his uncle's wedding. His uncle runs a market in the Bronx and Keong offers to help out while Uncle is on his honeymoon. During his stay in the Bronx, Keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market. One of those petty thugs in the local gang stumbles into a criminal situation way over his head.",tt0113326,33542,24
The Birdcage,The Birdcage,1996,1996-03-08,119 min,Comedy,Mike Nichols,"Elaine May, Édouard Molinaro, Francis Veber, Jean Poiret, Marcello Danon, Jean Poiret","Robin Williams, Gene Hackman, Nathan Lane, Dan Futterman, Dianne Wiest","Middle-aged gay life partners, Armand Goldman, a Jewish drag club owner, and Albert, the club's flamboyant star attraction, live in the eclectic community of South Beach and have raised a straight son. Now, their newly engaged son, 20-year-old Val, wants to bring his fiancée, Barbara, and her ultraconservative parents home to meet his family for the first time. By Val's request, Armand pretends to be straight, not Jewish and attempts to hide his relationship with Albert, in order to please Barbara's father, controversial right-wing Republican Sen. Kevin Keeley.",tt0115685,11000,25
The Brothers McMullen,The Brothers McMullen,1995,1995-08-09,98 min,"Comedy, Drama, Romance",Edward Burns,Edward Burns,"Shari Albert, Maxine Bahns, Catharine Bolz, Connie Britton, Edward Burns","Deals with the lives of the three Irish Catholic McMullen brothers from Long Island, New York, over three months, as they grapple with basic ideas and values — love, sex, marriage, religion and family — in the 1990s. Directed, written, produced by and starring Edward Burns.",tt0112585,16388,26
Bad Boys,Bad Boys,1995,1995-04-07,119 min,"Action, Comedy, Crime, Thriller",Michael Bay,"George Gallo, Michael Barrie, Jim Mulholland, Doug Richardson","Will Smith, Martin Lawrence, Téa Leoni, Tchéky Karyo, Joe Pantoliano","Marcus Burnett is a henpecked family man. Mike Lowrey is a footloose and fancy free ladies' man. Both Miami policemen, they have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.",tt0112442,9737,27
Apollo 13,Apollo 13,1995,1995-06-30,140 min,"Drama, History",Ron Howard,"Jeffrey Kluger, Al Reinert, William Broyles Jr., Jim Lovell, Ricardo F. Delgado, John Sayles","Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise, Ed Harris","The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1970, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",tt0112384,568,28
Batman Forever,Batman Forever,1995,1995-06-16,121 min,"Action, Crime, Fantasy",Joel Schumacher,"Akiva Goldsman, Lee Batchler, Bob Kane, Janet Scott Batchler, Chris Buchinsky, Lee Batchler, Janet Scott Batchler","Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman, Chris O'Donnell",Batman must battle a disfigured district attorney and a disgruntled former employee with help from an amorous psychologist and a young circus acrobat.,tt0112462,414,29
Belle de Jour,Belle de jour,1967,1967-05-24,101 min,"Drama, Romance",Luis Buñuel,"Luis Buñuel, Jean-Claude Carrière, Joseph Kessel","Catherine Deneuve, Jean Sorel, Michel Piccoli, Geneviève Page, Pierre Clémenti","Beautiful young housewife Séverine Serizy cannot reconcile her masochistic fantasies with her everyday life alongside dutiful husband Pierre. When her lovestruck friend Henri mentions a secretive high-class brothel run by Madame Anais, Séverine begins to work there during the day under the name Belle de Jour. But when one of her clients grows possessive, she must try to go back to her normal life.",tt0061395,649,30
Crimson Tide,Crimson Tide,1995,1995-05-12,116 min,"Thriller, Action",Tony Scott,"Michael Schiffer, Richard P. Henrick, Michael Schiffer","Denzel Washington, Gene Hackman, Matt Craven, George Dzundza, Viggo Mortensen","After the Cold War, a breakaway Russian republic with nuclear warheads becomes a possible worldwide threat. U.S. submarine Capt. Frank Ramsey signs on a relatively green but highly recommended Lt. Cmdr. Ron Hunter to the USS Alabama, which may be the only ship able to stop a possible Armageddon. When Ramsay insists that the Alabama must act aggressively, Hunter, fearing they will start rather than stop a disaster, leads a potential mutiny to stop him.",tt0112740,8963,31
Crumb,Crumb,1994,1994-09-10,120 min,Documentary,Terry Zwigoff,Terry Zwigoff,"Robert Crumb, Aline Kominsky, Charles Crumb, Maxon Crumb, Robert Hughes","This movie chronicles the life and times of R. Crumb. Robert Crumb is the cartoonist/artist who drew Keep On Truckin', Fritz the Cat, and played a major pioneering role in the genesis of underground comix. Through interviews with his mother, two brothers, wife, and ex-girlfriends, as well as selections from his vast quantity of graphic art, we are treated to a darkly comic ride through one man's subconscious mind.",tt0109508,26564,32
Desperado,Desperado,1995,1995-08-25,104 min,"Thriller, Action, Crime",Robert Rodriguez,Robert Rodriguez,"Antonio Banderas, Salma Hayek Pinault, Joaquim de Almeida, Steve Buscemi, Cheech Marin","El Mariachi plunges headfirst into the dark border underworld when he follows a trail of blood to the last of the infamous Mexican drug lords, Bucho, for an action-packed, bullet-riddled showdown. With the help of his friend and a beautiful bookstore owner, El Mariachi tracks Bucho, takes on his army of desperados, and leaves his own trail of blood.",tt0112851,8068,33
The Doom Generation,The Doom Generation,1995,1995-10-27,83 min,"Comedy, Crime, Drama",Gregg Araki,Gregg Araki,"Rose McGowan, James Duval, Johnathon Schaech, Cress Williams, Dustin Nguyen","Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embarks on a sex- and violence-filled journey through a United States of psychos and quickie marts.",tt0112887,13552,34
Free Willy 2: The Adventure Home,Free Willy 2: The Adventure Home,1995,1995-07-19,95 min,"Family, Adventure, Drama, Comedy",Dwight H. Little,"Corey Blechman, Karen Janszen, John Mattson","Jason James Richter, Michael Madsen, Jayne Atkinson, August Schellenberg, Mary Kate Schellhardt",Jesse becomes reunited with Willy three years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,tt0113114,9073,35
Mad Love,Mad Love,1995,1995-05-26,95 min,"Drama, Romance",Antonia Bird,Paula Milne,"Chris O'Donnell, Drew Barrymore, Matthew Lillard, Richard Chaim, Robert Nadir","Matt falls for Casey, the new girl in school. She's fun-loving and eccentric, but there's a darkness to her whimsy that Matt can't begin to comprehend. When Casey attempts to commit suicide, her parents place her in a mental institution. Matt springs her out, and together the young lovers head on a road trip. They believe their love can ""cure"" Casey's problems. Matt starts to wonder, though, if are they inspired or misguided.",tt0113729,47608,36
Nadja,Nadja,1994,1994-09-13,93 min,"Horror, Thriller",Michael Almereyda,Michael Almereyda,"Elina Löwensohn, Suzy Amis, Galaxy Craze, Martin Donovan, Peter Fonda","In a contemporary New York City, members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of their father's death. Meanwhile, they are being hunted by Dr. Van Helsing and his hapless nephew. As in all good vampire movies, forces of love are pitted against forces of destruction.",tt0110620,34574,37
The Net,The Net,1995,1995-07-28,114 min,"Crime, Drama, Mystery, Thriller, Action",Irwin Winkler,"John Brancato, Michael Ferris","Sandra Bullock, Jeremy Northam, Dennis Miller, Wendy Gazelle, Diane Baker","Angela Bennett is a freelance computer systems analyst who tracks down software viruses. At night she hooks up to the internet and chats to others 'surfing the net'. While de-bugging a new high-tech game for a cyber friend, she comes across a top secret program and becomes the target of a mysterious organization who will stop at nothing to erase her identity and her existence, in order to protect the project.",tt0113957,1642,38
Strange Days,Strange Days,1995,1995-10-13,145 min,"Crime, Drama, Science Fiction, Thriller",Kathryn Bigelow,"James Cameron, Jay Cocks, James Cameron","Ralph Fiennes, Angela Bassett, Juliette Lewis, Tom Sizemore, Michael Wincott","Former policeman Lenny Nero has moved into a more lucrative trade: the illegal sale of virtual reality-like recordings that allow users to experience the emotions and past experiences of others. While they typically contain tawdry incidents, Nero is shocked when he receives one showing a murder.",tt0114558,281,39
"To Wong Foo, Thanks for Everything! Julie Newmar","To Wong Foo, Thanks for Everything! Julie Newmar",1995,1995-09-07,109 min,"Comedy, Drama",Beeban Kidron,Douglas Carter Beane,"Patrick Swayze, Wesley Snipes, John Leguizamo, Stockard Channing, Blythe Danner","Manhattan drag queens Vida Boheme and Noxeema Jackson impress regional judges in competition, securing berths in the Nationals in Los Angeles. When the two meet pathetic drag novice Chi-Chi Rodriguez — one of the losers that evening — the charmed Vida and Noxeema agree to take the hopeless youngster under their joined wing. Soon the three set off on a madcap road trip across America and struggle to make it to Los Angeles in time.",tt0114682,9090,40
Billy Madison,Billy Madison,1995,1995-02-10,90 min,Comedy,Tamra Davis,"Tim Herlihy, Adam Sandler","Adam Sandler, Bradley Whitford, Josh Mostel, Bridgette Wilson-Sampras, Darren McGavin","Billy Madison is the 27 year-old son of Bryan Madison, a very rich man who has made his living in the hotel industry. Billy stands to inherit his father's empire, but only if he can make it through all 12 grades, 2 weeks per grade, to prove that he has what it takes to run the family business.",tt0112508,11017,41
Clerks,Clerks,1994,1994-10-19,92 min,Comedy,Kevin Smith,Kevin Smith,"Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti, Lisa Spoonauer, Jason Mewes","Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives.",tt0109445,2292,42
Disclosure,Disclosure,1994,1994-12-09,128 min,"Thriller, Drama, Crime",Barry Levinson,"Paul Attanasio, Michael Crichton","Michael Douglas, Demi Moore, Donald Sutherland, Dylan Baker, Jacqueline Kim","A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",tt0109635,8984,43
Eat Drink Man Woman,飲食男女,1994,1994-08-03,123 min,"Comedy, Drama, Romance",Ang Lee,"Ang Lee, James Schamus, Wang Huiling","Lung Sihung, Yang Kuei-Mei, Wu Chien-Lien, Wang Yu-wen, Winston Chao","A retired and widowed Chinese master chef Chu and his family live in modern day Taipei, Taiwan. He lives with his three attractive daughters, all of whom are unattached. Soon, each of the daughters encounter new men in their lives. When these new relationships blossom, stereotypes are broken and the living situation within the family changes.",tt0111797,10451,45
Exotica,Exotica,1994,1994-11-30,104 min,"Drama, Mystery",Atom Egoyan,Atom Egoyan,"Bruce Greenwood, Mia Kirshner, Elias Koteas, Don McKellar, Sarah Polley","In the upscale Toronto strip club Exotica, dancer Christina is visited nightly by the obsessive Francis, a depressed tax auditor. Her ex-boyfriend, the club's MC, Eric, still jealously pines for her even as he introduces her onstage, but Eric is having his own relationship problems with the club's female owner. Thomas, a mysterious pet-shop owner, is about to become unexpectedly involved in their lives.",tt0109759,20156,46
Ed Wood,Ed Wood,1994,1994-09-28,127 min,"Comedy, Drama, History",Tim Burton,"Scott Alexander, Larry Karaszewski, Rudolph Grey","Johnny Depp, Martin Landau, Sarah Jessica Parker, Patricia Arquette, Jeffrey Jones","The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful.",tt0109707,522,47
Hoop Dreams,Hoop Dreams,1994,1994-09-12,174 min,Documentary,Steve James,"Frederick Marx, Steve James","William Gates, Arthur Agee, Gene Pingatore, Steve James, Dick Vitale","Every school day, African-American teenagers William Gates and Arthur Agee travel 90 minutes each way from inner-city Chicago to St. Joseph High School in Westchester, Illinois, a predominately white suburban school well-known for the excellence of its basketball program. Gates and Agee dream of NBA stardom, and with the support of their close-knit families, they battle the social and physical obstacles that stand in their way. This acclaimed documentary was shot over the course of five years.",tt0110057,14275,48
I.Q.,I.Q.,1994,1994-12-24,100 min,"Comedy, Drama, Romance",Fred Schepisi,"Andy Breckman, Michael J. Leeson","Tim Robbins, Meg Ryan, Walter Matthau, Lou Jacobi, Gene Saks",Albert Einstein helps a young man who's in love with Einstein's niece to catch her attention by pretending temporarily to be a great physicist.,tt0110099,11777,49
Star Wars,Star Wars,1977,1977-05-25,121 min,"Adventure, Action, Science Fiction",George Lucas,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness",Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,tt0076759,11,50
Legends of the Fall,Legends of the Fall,1994,1994-12-23,133 min,"Drama, Western, Romance, War, Action",Edward Zwick,"Susan Shilliday, William D. Wittliff, Jim Harrison","Brad Pitt, Anthony Hopkins, Aidan Quinn, Julia Ormond, Henry Thomas","In early 20th-century Montana, Col. William Ludlow lives on a ranch in the wilderness with his sons, Alfred, Tristan, and Samuel. Eventually, the unconventional but close-knit family are bound by loyalty, tested by war, and torn apart by love, as told over the course of several decades in this epic saga.",tt0110322,4476,51
The Madness of King George,The Madness of King George,1994,1994-12-28,107 min,"Comedy, Drama, History",Nicholas Hytner,"Alan Bennett, Alan Bennett","Nigel Hawthorne, Helen Mirren, Ian Holm, Anthony Calf, Amanda Donohoe","Aging King George III of England is exhibiting signs of madness, a problem little understood in 1788. As the monarch alternates between bouts of confusion and near-violent outbursts of temper, his hapless doctors attempt the ineffectual cures of the day. Meanwhile, Queen Charlotte and Prime Minister William Pitt the Younger attempt to prevent the king's political enemies, led by the Prince of Wales, from usurping the throne.",tt0110428,11318,52
Natural Born Killers,Natural Born Killers,1994,1994-08-26,118 min,"Crime, Thriller, Drama",Oliver Stone,"David Veloz, Richard Rutowski, Oliver Stone, Quentin Tarantino","Woody Harrelson, Juliette Lewis, Robert Downey Jr., Tommy Lee Jones, Tom Sizemore",Two victims of traumatized childhoods become lovers and serial murderers irresponsibly glorified by the mass media.,tt0110632,241,53
Outbreak,Outbreak,1995,1995-03-10,127 min,"Action, Drama, Science Fiction, Thriller",Wolfgang Petersen,"Laurence Dworet, Robert Roy Pool","Dustin Hoffman, Rene Russo, Morgan Freeman, Kevin Spacey, Cuba Gooding Jr.","A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col. Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House.",tt0114069,6950,54
Léon: The Professional,Léon: The Professional,1994,1994-09-14,111 min,"Crime, Drama, Action",Luc Besson,Luc Besson,"Jean Reno, Natalie Portman, Gary Oldman, Danny Aiello, Peter Appel","Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",tt0110413,101,55
Pulp Fiction,Pulp Fiction,1994,1994-09-10,154 min,"Thriller, Crime",Quentin Tarantino,"Quentin Tarantino, Quentin Tarantino, Roger Avary","John Travolta, Samuel L. Jackson, Uma Thurman, Bruce Willis, Ving Rhames","A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",tt0110912,680,56
The Priest and the Pirate,The Priest and the Pirate,1994,1994-04-08,90 min,Drama,Hugh Farrell,Hugh Farrell,"Vincent Friell, Kathryn Howden, Charles Kearney, Peter Mullan",A priest is transferred to Edinburgh where he becomes involved with a pirate television station supporting Scottish independence.,tt1363374,684465,57
Quiz Show,Quiz Show,1994,1994-08-25,133 min,"History, Drama, Mystery",Robert Redford,"Paul Attanasio, Richard N. Goodwin","Ralph Fiennes, Rob Morrow, John Turturro, Paul Scofield, David Paymer","Herbert Stempel's transformation into an unexpected television personality unfolds as he secures victory on the cherished American game show, 'Twenty-One.' However, when the show introduces the highly skilled contestant Charles Van Doren to replace Stempel, it compels Stempel to let out his frustrations and call out the show as rigged. Lawyer Richard Goodwin steps in and attempts to uncover the orchestrated deception behind the scenes.",tt0110932,11450,58
Three Colors: Red,Trois couleurs : Rouge,1994,1994-05-12,100 min,"Drama, Mystery, Romance",Krzysztof Kieślowski,"Krzysztof Kieślowski, Krzysztof Piesiewicz, Edward Żebrowski, Agnieszka Holland, Piotr Sobociński","Irène Jacob, Jean-Louis Trintignant, Frédérique Feder, Jean-Pierre Lorit, Samuel Le Bihan","Part-time model Valentine unexpectedly befriends a retired judge after she runs over his dog. At first, the grumpy man shows no concern about the dog, and Valentine decides to keep it. But the two form a bond when she returns to his house and catches him listening to his neighbors’ phone calls.",tt0111495,110,59
Three Colors: Blue,Trois couleurs : Bleu,1993,1993-09-08,98 min,Drama,Krzysztof Kieślowski,"Krzysztof Kieślowski, Agnieszka Holland, Edward Żebrowski, Slawomir Idziak, Krzysztof Piesiewicz","Juliette Binoche, Benoît Régent, Florence Pernel, Charlotte Véry, Hélène Vincent","The wife of a famous composer survives a car accident that kills her husband and daughter. Now alone, she shakes off her old identity and explores her newfound freedom but finds that she is unbreakably bound to other humans, including her husband’s mistress, whose existence she never suspected.",tt0108394,108,60
