item,embedding
168,"[-0.0017789006233215332, 0.02641773596405983, -0.028160635381937027, -0.031065626069903374, 0.05839330330491066, -0.014843955636024475, -0.016664210706949234, 0.02626674994826317, -0.03774723410606384, -0.024328812956809998, -0.043537214398384094, -0.058039117604494095, 0.0387665219604969, -0.05836731195449829, -0.05347315967082977, -0.05170546472072601, 0.04109281674027443, -0.004497922956943512, -0.006517142057418823, 0.005731511861085892, -0.0391513966023922, 0.003564298152923584, -0.029265934601426125, 0.03346933797001839, 0.04042673483490944, 0.030059222131967545, 0.058284226804971695, -0.05816987529397011, 0.04606729373335838, 0.03057393804192543, -0.044423867017030716, -0.02123648300766945, 0.03574208542704582, -0.028589121997356415, 0.033128950744867325, 0.049432817846536636, -0.05212393030524254, -0.00021467730402946472, -0.013840202242136002, -0.03766130656003952, -0.02721574530005455, 0.032619547098875046, 0.008326899260282516, 0.041645389050245285, 0.056009937077760696, 0.030373472720384598, -0.028347982093691826, -0.03376583009958267, -0.0010936781764030457, -0.037351094186306, -0.013702716678380966, 0.05701683089137077, -0.04195650666952133, 0.01727985218167305, 0.03199700638651848, 0.020944248884916306, 0.048302192240953445, 0.005968105047941208, -0.02768067456781864, 0.05660012736916542, 0.056190501898527145, -0.008495975285768509, -0.013559214770793915, -0.02241932973265648]"
466,"[0.04537481442093849, -0.05255246162414551, 0.0035378672182559967, 0.05018142983317375, -0.004793025553226471, -0.05794178694486618, 0.05046571418642998, -0.05557681620121002, 0.03461240604519844, -0.029855379834771156, -0.012660946696996689, 0.04857666417956352, -0.01450355350971222, -0.046270471066236496, 0.0008325278759002686, -0.016790766268968582, -0.012060936540365219, 0.03503882512450218, 0.040308628231287, 0.035015854984521866, 0.048228200525045395, -0.01961139589548111, -0.026380307972431183, -0.0546332448720932, 0.003917578607797623, -0.026797767728567123, 0.045409124344587326, -0.018291059881448746, 0.007743995636701584, -0.0009481199085712433, 0.021054547280073166, -0.05727243795990944, 0.0038107410073280334, 0.025887135416269302, -0.057560283690690994, -0.021275009959936142, 0.0035365894436836243, 0.04281085357069969, -0.05736739560961723, -0.027322322130203247, -0.05460888147354126, 0.04265176132321358, -0.02626867964863777, -0.013266541063785553, 0.005508009344339371, -0.01257288083434105, -0.027719661593437195, 0.03688933327794075, 0.0533745251595974, 0.004876177757978439, -0.021459978073835373, -0.022117529064416885, 0.05713334307074547, -0.049643438309431076, -0.05615222081542015, 0.024014215916395187, 0.04547738656401634, 0.050734084099531174, 0.010605093091726303, -0.015584643930196762, 0.021236609667539597, 0.02041805163025856, -0.02312614768743515, -0.05681180581450462]"
432,"[-0.004132512956857681, 0.0060235969722270966, 0.03736719861626625, 0.03855611011385918, 0.0477425642311573, -0.031232964247465134, -0.026526283472776413, -0.012079574167728424, -0.008285868912935257, 0.03678270801901817, -0.050566378980875015, 0.00311439111828804, 0.022680480033159256, 0.05845190957188606, -0.012585557997226715, 0.029068153351545334, -0.015309322625398636, 0.02880026027560234, -0.012955617159605026, 0.016003865748643875, 0.002396628260612488, 0.027403417974710464, -0.009657051414251328, 0.01098538562655449, 0.016050394624471664, -0.05610748380422592, 0.03035208210349083, -0.0007714517414569855, -0.009178977459669113, -0.012056391686201096, 0.047918181866407394, -0.0427669994533062, -0.017969604581594467, -0.0009431503713130951, 0.05026049539446831, 0.05294958874583244, 0.003425009548664093, 0.05024676397442818, 0.03912682458758354, 0.010093066841363907, 0.012239214032888412, 0.018512051552534103, -0.009194500744342804, 0.03293536230921745, -0.046677567064762115, -0.04870656132698059, -0.050826117396354675, -0.04537682980298996, 0.04235820844769478, 0.010177630931138992, 0.02974974736571312, -0.05250539630651474, 0.0038365013897418976, 0.009725909680128098, 0.009032953530550003, 0.013383951038122177, 0.005791451781988144, -0.05166531726717949, -0.04249067232012749, -0.03625185787677765, -0.004326697438955307, 0.04335470125079155, 0.05226907506585121, -0.005174972116947174]"
429,"[0.03110061213374138, 0.02387559786438942, -0.04219639301300049, -0.03533384948968887, 0.010642517358064651, -0.04748016595840454, -0.037340857088565826, 0.04358282312750816, -0.00042321905493736267, -0.05115766078233719, 0.021203991025686264, 0.015163902193307877, -0.032133202999830246, -0.05250365287065506, 0.022170644253492355, -0.014007560908794403, -0.03913313150405884, -0.04217394068837166, 0.017934951931238174, -0.04555999115109444, 0.002369094640016556, 0.022884536534547806, -0.02888180874288082, 0.0019097551703453064, 0.021126147359609604, -0.03724119812250137, -0.05452015623450279, -0.02106047049164772, -0.0029062628746032715, 0.02300424501299858, 0.02735469862818718, 0.05744891241192818, 0.04280431196093559, -0.03651890903711319, 0.017020810395479202, -0.019913293421268463, -0.011626649647951126, -0.024563118815422058, -0.05012547969818115, -0.048499103635549545, 0.021414022892713547, -0.0005279481410980225, -0.031271807849407196, -0.011366765946149826, 0.012149032205343246, -0.05202671140432358, 0.012434955686330795, 0.054069455713033676, 0.0243159718811512, -0.05860281363129616, 0.03391781821846962, -0.049884844571352005, -0.03767678886651993, 0.04767229035496712, -0.03540613502264023, 0.05026434734463692, 0.031105484813451767, -0.041486114263534546, -0.006060786545276642, 0.006998192518949509, 0.0037420131266117096, -0.022936172783374786, 0.045722249895334244, 0.05284862592816353]"
79,"[0.03212834522128105, -0.020140323787927628, 0.012488346546888351, 0.019054029136896133, 0.015074264258146286, -0.03614052012562752, 0.026871558278799057, -0.016471415758132935, 0.00813576951622963, -0.03556821122765541, 0.032901208847761154, 0.03522137925028801, 0.024574723094701767, 0.05693518742918968, -0.01400657370686531, -0.004522152245044708, 0.005412440747022629, 0.05565427616238594, 0.052629802376031876, 0.028415601700544357, -0.04965980350971222, 0.007103782147169113, 0.03758210316300392, 0.008298251777887344, -0.0004448741674423218, 0.05154987797141075, 0.014820296317338943, -0.009686585515737534, 0.05561508610844612, 0.010295141488313675, 0.0012123994529247284, 0.02541423961520195, 0.017607834190130234, -0.03364331275224686, -0.004244964569807053, -0.038926057517528534, 0.058237846940755844, -0.00650106742978096, 0.04172078147530556, -0.02791694365441799, -0.03485529124736786, 0.017798054963350296, 0.023404184728860855, 0.05222413316369057, -0.053775154054164886, 0.05472154542803764, -0.01719527319073677, 0.04375262185931206, 0.05353054031729698, 0.005483303219079971, 0.007689323276281357, 0.05302679166197777, 0.03166100010275841, -0.044727664440870285, -0.022388655692338943, 0.04802517220377922, -0.01160668209195137, 0.02796444669365883, -0.015256974846124649, 0.024711932986974716, 0.008964244276285172, -0.021025244146585464, -0.0035401731729507446, -0.03325425833463669]"
430,"[0.049502063542604446, 0.014320816844701767, -0.0021627917885780334, 0.034488122910261154, -0.0018099024891853333, -0.001931559294462204, 0.03446613624691963, -0.025436360388994217, -0.010301284492015839, 0.015476841479539871, -0.053642455488443375, -0.02741321548819542, 0.05063433572649956, 0.01035081222653389, -0.03867879882454872, 0.028414655476808548, -0.007756859064102173, -0.04697492718696594, 0.0422603003680706, -0.015047416090965271, -0.03482423722743988, 0.057207752019166946, -0.04266374930739403, -0.03590074181556702, -0.005275413393974304, 0.03415079787373543, -0.03861881047487259, 0.03702232614159584, -0.040492504835128784, -0.04445887729525566, -0.05117422342300415, -0.03816410154104233, -0.026675790548324585, -0.0020601190626621246, -0.05097515136003494, 0.02284809574484825, 0.005541007965803146, 0.03409384563565254, 0.017250705510377884, -0.006054777652025223, 0.048581670969724655, 0.054967258125543594, -0.01487048715353012, -0.03946912661194801, 0.0402059443295002, -0.0438370555639267, 0.025797169655561447, 0.04169456288218498, 0.03485101833939552, -0.039222318679094315, -0.01604604721069336, 0.04777422919869423, -0.02205735445022583, 0.03165816888213158, -0.00894239917397499, -0.0397663414478302, 0.027409184724092484, 0.002651859074831009, -0.014217071235179901, -0.045863136649131775, 0.006511662155389786, -0.047459375113248825, 0.04699886217713356, -0.02682606875896454]"
174,"[-0.03340218961238861, 0.0037805959582328796, -0.05834332853555679, 0.039241645485162735, -0.018433429300785065, -0.017475035041570663, 0.007049772888422012, -0.016771655529737473, -0.00927099958062172, 0.013932254165410995, -0.02087552100419998, 0.048699695616960526, 0.02318672463297844, -0.018150553107261658, 0.047290582209825516, 0.014389153569936752, -0.023938968777656555, -0.008573472499847412, 0.03698248043656349, 0.005329679697751999, -0.011540994048118591, -0.018488984555006027, -0.015858467668294907, 0.04957762733101845, 0.02906925603747368, -0.030405119061470032, 0.04024156555533409, -0.0015289634466171265, 0.03723594918847084, -0.008922554552555084, -0.01532551646232605, -0.008724983781576157, -0.04105127602815628, 0.05542008951306343, 0.008221786469221115, -0.04654855653643608, -0.02060038223862648, -0.009386233985424042, -0.0499059334397316, -0.05783132463693619, 0.02143043652176857, -0.035801127552986145, -0.04001888632774353, 0.045547839254140854, -0.05234212428331375, -0.024471502751111984, 0.042625028640031815, 0.00957253947854042, -0.05715583637356758, 0.009872224181890488, 0.010094020515680313, 0.04095033183693886, -0.0435817651450634, 0.008481290191411972, -0.025463320314884186, 0.03172716125845909, -0.016635343432426453, -0.005125179886817932, -0.049899160861968994, 0.010162759572267532, 0.018526878207921982, 0.03029746189713478, 0.0022165998816490173, 0.01544235274195671]"
192,"[0.026912223547697067, -0.051293596625328064, -0.02738661877810955, 0.009410586208105087, -0.030722569674253464, -0.052165742963552475, 0.025747869163751602, -0.054881736636161804, 0.044847000390291214, 0.0562196709215641, -0.05665334314107895, 0.03601854667067528, -0.05336343124508858, 0.0024676136672496796, 0.03780931606888771, -0.01367170736193657, 0.004456806927919388, 0.0024495162069797516, -0.013178043067455292, 0.05696028098464012, -0.03933684155344963, -0.03257202357053757, 0.056483346968889236, 0.028272848576307297, 0.00895259901881218, -0.0028203651309013367, 0.029000211507081985, -0.005887255072593689, -0.03825259208679199, -0.0020335912704467773, -0.03521790727972984, 0.024526413530111313, 0.010439682751893997, 0.03641028329730034, -0.05346275493502617, -0.029930634424090385, 0.03386786952614784, -0.05826139822602272, -0.029137974604964256, 0.022991184145212173, -0.011253681033849716, 0.020959090441465378, 0.0545082725584507, -0.01421748474240303, -0.006477776914834976, 0.010956589132547379, -0.04099886119365692, -0.0006101503968238831, -0.025788646191358566, 0.04603750631213188, 0.05506017431616783, -0.015004325658082962, 0.02724447473883629, -0.002357158809900284, -0.00689605250954628, 0.008427057415246964, 0.0004383176565170288, 0.020172927528619766, 0.00439206138253212, 0.01816621795296669, 0.0123392753303051, -0.0504145622253418, 0.03791904076933861, -0.008594788610935211]"
32,"[-0.04820350557565689, 0.03567550703883171, 0.010244693607091904, 0.029967550188302994, 0.017704810947179794, -0.013707928359508514, 0.05657428130507469, -0.033191993832588196, 0.015976037830114365, -0.027579324319958687, 0.05383406952023506, 0.015427228063344955, 0.03802315518260002, -0.03566644340753555, 0.04629167541861534, -0.04104249179363251, -0.030699921771883965, -0.022809702903032303, 0.031515415757894516, 0.051652465015649796, -0.023665688931941986, 0.014107104390859604, -0.032043181359767914, 0.014679621905088425, 0.05701913312077522, 0.024479154497385025, 0.007882673293352127, 0.023888085037469864, -0.045877210795879364, 0.056993816047906876, 0.005396846681833267, -0.041003093123435974, -0.04134095087647438, 0.04233039543032646, 0.04833202436566353, -0.004768475890159607, 0.02053697779774666, 0.04074733331799507, 0.05531953647732735, 0.0312732495367527, -0.0038687512278556824, -0.01677185669541359, 0.02946234866976738, 0.02874322608113289, 0.030882086604833603, -0.0034088008105754852, -0.013721808791160583, -0.002072293311357498, 0.037479374557733536, 0.0028897151350975037, -0.008639127016067505, 0.033239442855119705, 0.03021297976374626, 0.010316077619791031, 0.012249242514371872, -0.020955536514520645, 0.05105699226260185, -0.043775804340839386, 0.03037380799651146, -0.05657697468996048, -0.010278135538101196, 0.05507570877671242, -0.0017321594059467316, 0.006733831018209457]"
357,"[0.040572602301836014, 0.009295415133237839, -0.028576698154211044, -0.005946151912212372, -0.04021868482232094, 0.031093057245016098, -0.01142454519867897, 0.02199399843811989, 0.017351876944303513, 0.013324711471796036, -0.013220593333244324, -0.057007551193237305, 0.021639470010995865, 0.04541550204157829, 0.018193017691373825, 0.01755819097161293, -0.03433345630764961, 0.03170212730765343, 0.033715445548295975, -0.01663188636302948, -0.058558158576488495, 0.021374914795160294, 0.019159909337759018, -0.019416533410549164, 0.022909943014383316, -0.023402787744998932, -0.04180435091257095, -0.01385616883635521, -0.02415488287806511, 0.027330469340085983, 0.041760336607694626, 0.023525748401880264, 0.010276567190885544, -0.04403092339634895, 0.024569522589445114, -0.03738706558942795, -0.019045304507017136, -0.02017577737569809, 0.036439646035432816, -0.04864579811692238, -0.05429008975625038, -0.008633237332105637, 0.046011026948690414, -0.05133909732103348, -0.033632636070251465, 0.056955981999635696, -0.05803524702787399, 0.00031755492091178894, 0.03242035582661629, -0.04557231068611145, -0.031013641506433487, 0.03141402080655098, -0.009463571012020111, -0.045900218188762665, -0.035033732652664185, -0.016266535967588425, -0.02175302803516388, 0.03263569995760918, 0.02431372180581093, 0.029773812741041183, 0.010000664740800858, 0.03160908445715904, 0.04163670912384987, 0.00460994616150856]"
202,"[0.006882015615701675, -0.007393281906843185, -0.033558860421180725, -0.052238207310438156, -0.031472884118556976, 0.02726980671286583, -0.0009373575448989868, 0.04637226089835167, 0.0355268232524395, -0.04810719937086105, -0.049045536667108536, 0.030956003814935684, -0.04020532965660095, 0.032851558178663254, -0.020245015621185303, -0.007729344069957733, 0.034749243408441544, -0.05497141554951668, 0.050540272146463394, 0.057799872010946274, -0.012752234935760498, -0.01991835981607437, -0.04161100089550018, 0.05741948261857033, -0.020707882940769196, 0.0585947148501873, 0.03932565078139305, -0.022425204515457153, 0.011247340589761734, 0.028736833482980728, -0.004188451915979385, -0.057160209864377975, -0.031272873282432556, 0.01821957156062126, -0.020599957555532455, -0.048163242638111115, -0.04954913258552551, -0.00573880597949028, 0.034392792731523514, 0.03591293469071388, 0.04192633554339409, 0.05559195950627327, 0.04696611687541008, 0.05011213198304176, -0.03846313804388046, -0.027644336223602295, -0.05308077484369278, -0.049895890057086945, -0.01667005568742752, 0.04274865612387657, 0.01008511707186699, -0.005639631301164627, -0.014288235455751419, 0.004139024764299393, 0.0071082524955272675, -0.025166358798742294, 0.0008157640695571899, 0.03401681408286095, 0.019987445324659348, 0.015182774513959885, 0.049348752945661545, 0.012554433196783066, 0.05078161880373955, -0.02389717474579811]"
